"","newPositions","0.025","0.5","0.975","ids"
"1",100,358.647947754414,358.837256067833,359.022599081017,"baseCarboniferous"
"2",80.24,371.589337352937,372.152346436426,372.373981516471,"baseFamennian"
"3",67.18,380.451967123053,381.98662179987,383.437565441291,"baseFrasnian"
"4",56.45,386.163269486762,387.639971343166,388.738501033602,"baseGivetian"
"5",41.38,392.489551468315,393.507327348001,394.210993811227,"baseEifelian"
"6",19.58,406.755630141313,408.386547467913,409.983431917425,"baseEmsianNew"
"7",14.22,408.745262836295,410.554845861449,412.187180346612,"baseEmsian"
"8",11.06,411.271753631848,412.880966539401,414.578344506436,"basePragian"
"9",0,418.473515012308,419.72680749051,421.087155823958,"baseLochkovian"
