predictPositions,ids
100.00,baseCarboniferous
80.24,baseFamennian
67.18,baseFrasnian
56.45,baseGivetian
41.38,baseEifelian
19.58,baseEmsianNew
14.22,baseEmsian
11.06,basePragian
0.00,baseLochkovian
