"","newPositions","0.025","0.5","0.975","ids"
"1",100,358.633926666489,358.863972466812,359.091185030281,"baseCarboniferous"
"2",73.17,371.610765252443,372.171084480476,372.404220544257,"baseFamennian"
"3",59.76,379.62288091671,381.970339028418,383.926395930826,"baseFrasnian"
"4",52.42,385.792954926014,387.682157822555,389.11541772972,"baseGivetian"
"5",45.75,391.850456402094,393.114232085215,394.137723349662,"baseEifelian"
"6",15.73,407.946531250234,410.327267183995,412.436670323822,"baseEmsian"
"7",10.16,411.583576178383,413.785904350081,415.673751496887,"basePragian"
"8",0,418.525371730304,420.022224069475,421.76766373916,"baseLochkovian"
