ids,ages,ageSds,positions,positionThicknesses,distTypes
1,466.3,1.4,35.7,3.2,G
2,468.2,1.2,32.5,0.5,G
3,474,1.5,24.3,0.7,G
4,482,0.5,20.2,2,G
5,489.6,1.8,10.3,0.1,G
6,492.2,0.65,5.3,0.1,G
