"","ids","y0","x0","y.rescale"
"1","baseCarboniferous",100,358.837256067833,100
"2","baseFamennian",80.24,372.152346436426,78.1323887966209
"3","baseFrasnian",67.18,381.98662179987,61.981382369955
"4","baseGivetian",56.45,387.639971343166,52.6967852408804
"5","baseEifelian",41.38,393.507327348001,43.0607214700943
"6","baseEmsianNew",19.58,408.386547467913,18.6243119839659
"7","baseEmsian",14.22,410.554845861449,15.063276727712
"8","basePragian",11.06,412.880966539401,11.2430471093256
"9","baseLochkovian",0,419.72680749051,0
