ids,age,uncertainty_2sig,midpoint,halfwidth,distTypes
Cb2,358.43,0.06,102.93,0.83,G
Cb1,358.71,0.06,101.05,1.05,G
D27,358.89,0.20,99.19,0.81,G
D26,358.97,0.11,99.19,0.81,G
D25,359.25,0.06,99.19,0.81,G
D23,362.87,0.53,97.37,1.01,G
D22,364.08,2.05,97.37,1.01,G
D19,372.36,0.05,75.05,1.45,G
D18,375.14,0.12,67.76,0.98,G
D17,375.25,0.13,67.76,0.98,G
D16,375.55,0.10,67.76,0.98,G
D15,390.14,0.14,48.66,0.99,G
D14,390.82,0.18,48.66,0.99,G
D13,394.29,0.10,42.47,0.52,G
D12,407.75,1.08,23.77,2.10,G
D11,411.70,0.90,16.63,2.66,G
D10,411.50,1.20,19.24,4.34,G
D9,415.60,0.80,6.95,3.79,G
D8,417.70,0.50,3.84,3.84,G
D7,417.22,0.21,8.28,2.46,G
D6,417.61,0.12,8.28,2.46,G
D5,417.68,0.21,8.28,2.46,G
D4,417.56,0.20,8.28,2.46,G
D3,417.73,0.22,8.28,2.46,G
D2,417.85,0.23,8.28,2.46,G
D1,418.42,0.21,8.28,2.46,G
S8,422.91,0.07,-6.31,0.65,G
S7,424.08,0.20,-9.33,0.80,G
A-baseFamennian-D27,373.29,0.38,77.88,0.81,G
A-baseFrasnian-D27,379.79,0.60,60.54,0.81,G
A-baseGivetian-D27,384.14,0.79,52.19,0.81,G
A-baseEifelian-D27,389.14,1.41,43.03,0.81,G
A-baseCarboniferous-D15,363.54,0.84,100.00,0.50,G
A-baseFamennian-D15,377.94,0.77,77.88,0.50,G
A-baseFrasnian-D15,384.44,0.62,60.54,0.50,G
A-baseGivetian-D15,388.79,0.34,52.19,0.50,G
A-D15,390.14,0.14,49.71,0.50,G
A-baseEifelian-D15,393.79,0.86,43.03,0.50,G
A-baseCarboniferous-D14,362.61,1.05,100.00,0.50,G
A-baseFamennian-D14,377.01,1.00,77.88,0.50,G
A-baseFrasnian-D14,383.51,0.88,60.54,0.50,G
A-baseGivetian-D14,387.86,0.71,52.19,0.50,G
A-D14,390.82,0.18,46.77,0.50,G
A-baseEifelian-D14,392.86,0.51,43.03,0.50,G
A-baseEmsian-D6,412.78,1.55,19.28,2.46,G
A-basePragian-D6,414.47,1.32,13.96,2.46,G
A-baseLochkovian-D6,422.18,1.92,0.00,2.46,G
A-baseEmsian-D5,412.85,1.56,19.28,2.46,G
A-basePragian-D5,414.55,1.33,13.96,2.46,G
A-baseLochkovian-D5,422.24,1.92,0.00,2.46,G
