"","ids","y0","x0","y.rescale"
"1","baseNextZone",105.4,357.206015274614,102.815580893057
"2","duplicata",102.1,358.543491039383,100.643322108521
"3","baseCb",100,358.939589209276,100
"4","sulcata",100,358.939589209276,100
"5","praesulcata",98.4,359.94122976839,98.3731873423076
"6","expansa",94.3,363.655219183066,92.3411183177971
"7","postera",93.1,364.266141211812,91.3488904370624
"8","trachytera",91.2,365.263121725392,89.7296463836886
"9","marginifera",87,367.410391353658,86.2421623965895
"10","rhomboidea",85.3,368.289255302769,84.814757142486
"11","crepida",81.4,370.284645850744,81.5739472821563
"12","triangularis",77.9,372.137016731272,78.5654225496437
"13","linguiformis",76.5,372.338118780558,78.2388030290084
"14","rhenana",70.7,374.125620433318,75.3356355325503
"15","hassi",66.8,375.919845976552,72.4215474418406
"16","punctata",64.3,378.264071246841,68.6141783137773
"17","transitans",62.9,379.538748330334,66.5439138910494
"18","guanwushanensis (falsiovalis)",59.8,383.030421248418,60.8729197924471
"19","disparilis",58.1,383.979801299674,59.3309859417352
"20","hermanni",56.7,384.688397841968,58.1801201808486
"21","varcus",52.8,386.896439944742,54.5939326919096
"22","hemiansatus",52.1,387.720144442178,53.2561145590141
"23","ensensis",51.4,388.572100631493,51.8724114931135
"24","kockelianus",49.7,390.020483523778,49.5200231029745
"25","costatus",45.7,391.568837466821,47.0052669160285
"26","partitus",43,393.463198276074,43.9285443186001
"27","patulus",40.2,395.877649413175,40.0071179791072
"28","serotinus",35.6,399.137326377535,34.7129196787752
"29","inversus",30.4,402.861954317072,28.6635721138258
"30","nothoperbonus",25.9,406.126645884452,23.3612293552919
"31","gronbergi",24.2,407.382652050558,21.3212892684351
"32","excavatus",21.7,409.254015415083,18.2819179282385
"33","kitabicus",19.2,410.967214398541,15.4994289744178
"34","pireneae",17.6,412.010454411461,13.8050526409256
"35","kindlei",14.9,413.819939104,10.8661814311523
"36","irregularis",13,415.11986248847,8.75491327548377
"37","gilberti",12.1,415.760242132919,7.71484186280043
"38","pandora beta",10.7,416.758468315187,6.09357465893663
"39","trigonicus",9.4,417.399849842452,5.05187604013429
"40","transitans",8.6,417.570046023652,4.77545222787194
"41","eleanorae",7.7,417.744137264001,4.49270226251213
"42","omoalpha",6.3,418.117616271166,3.8861170252145
"43","postwoschmidti",3.2,418.910416355072,2.59849223827712
"44","hesperius",0,420.510327202885,0
"45","baseD",0,420.510327202885,0
"46","detortus",-3.6,422.036558391259,-2.47882555595118
"47","eost. s.l. I.Z.",-6.3,422.916750116526,-3.90838731523741
"48","crispa",-7,423.182088308907,-4.33933584862723
"49","snajdri I.Z.",-8.5,423.749995539454,-5.26170132458833
"50","siluricus",-10.1,424.493963836501,-6.47001605540061
"51","ploeckensis",-11.3,425.085297372906,-7.43042932260391
