"","newPositions","0.025","0.5","0.975","ids"
"1",100,358.715949483014,358.939589209276,359.153133453582,"baseCarboniferous"
"2",77.86,371.599542666793,372.147793520608,372.365187790287,"baseFamennian"
"3",60.54,380.235214921328,382.126899229678,383.861446808319,"baseFrasnian"
"4",52.19,385.950946614893,387.608321470229,388.886429033831,"baseGivetian"
"5",43.03,392.282280848992,393.433005737659,394.206553295564,"baseEifelian"
"6",19.29,408.349156195947,410.911532554748,412.951795708002,"baseEmsian"
"7",13.96,412.334478633593,414.49374014197,416.468545560321,"basePragian"
"8",0,418.888686494685,420.510327202885,422.205050927997,"baseLochkovian"
